id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_pf_programas_lider_estrategico,access_pf_programas_lider_estrategico,model_pf_programas,group_manzana_lider_estrategia,1,1,1,1
access_pf_catalogo_lider_estrategico,access_pf_catalogo_lider_estrategico,prefectura_base.model_pf_catalogo,group_manzana_lider_estrategia,1,0,0,0
access_pf_items_lider_estrategico,access_pf_items_lider_estrategico,prefectura_base.model_pf_items,group_manzana_lider_estrategia,1,0,0,0
access_mz_servicio_lider_estrategico,access_mz_servicio_lider_estrategico,model_mz_servicio,group_manzana_lider_estrategia,1,1,1,1
access_mz_asignacion_servicio_lider_estrategico,access_mz_asignacion_servicio_lider_estrategico,model_mz_asignacion_servicio,group_manzana_lider_estrategia,1,1,1,1
access_pf_sucursal_lider_estrategico,access_pf_sucursal_lider_estrategico,prefectura_base.model_pf_sucursal,group_manzana_lider_estrategia,1,0,0,0
access_hr_employee_estrategico,access_hr_employee_estrategico,hr.model_hr_employee,group_manzana_lider_estrategia,1,0,0,0
access_mz_sub_servicio_estrategico,mz.sub.servicio.estrategico,model_mz_sub_servicio,group_manzana_lider_estrategia,1,0,0,0

access_mz_beneficiario_lider_estrategico,access_mz_beneficiario_lider_estrategico,model_mz_beneficiario,group_manzana_lider_estrategia,1,0,0,0
access_pf_beneficiario_lider_estrategico,access_pf_beneficiario_lider_estrategico,prefectura_base.model_pf_beneficiario,group_manzana_lider_estrategia,1,0,0,0
access_mz_dependiente_lider_estrategico,access_mz_dependiente_lider_estrategico,model_mz_dependiente,group_manzana_lider_estrategia,1,0,0,0
access_mz_horarios_servicio_lider_estrategico,access_mz_horarios_servicio_lider_estrategico,model_mz_horarios_servicio,group_manzana_lider_estrategia,1,0,0,0
access_mz_detalle_horarios_lider_estrategico,access_mz_detalle_horarios_lider_estrategico,model_mz_detalle_horarios,group_manzana_lider_estrategia,1,0,0,0
access_mz_genera_planificacion_servicio_lider_estrategico,access_mz_genera_planificacion_servicio_lider_estrategico,model_mz_genera_planificacion_servicio,group_manzana_lider_estrategia,1,0,0,0
access_mz_planificacion_servicio_lider_estrategico,access_mz_planificacion_servicio_lider_estrategico,model_mz_planificacion_servicio,group_manzana_lider_estrategia,1,0,0,0
access_confirm_unpublish_wizard_lider_estrategico,access_confirm_unpublish_wizard_lider_estrategico,model_confirm_unpublish_wizard,group_manzana_lider_estrategia,1,0,0,0
access_solicitud_beneficiario_lider_estrategico,access_solicitud_beneficiario_lider_estrategico,model_mz_solicitud_beneficiario,group_manzana_lider_estrategia,1,0,0,0
access_mz_agendar_servicio_lider_estrategico,access_mz_agendar_servicio_lider_estrategico,model_mz_agendar_servicio,group_manzana_lider_estrategia,1,0,0,0
access_mz_asistencia_servicio_lider_estrategico,access_mz_asistencia_servicio_lider_estrategico,model_mz_asistencia_servicio,group_manzana_lider_estrategia,1,0,0,0
access_mz_consulta_lider_estrategico,access_mz_consulta_lider_estrategico,model_mz_consulta,group_manzana_lider_estrategia,1,0,0,0
access_mz_historia_clinica_lider_estrategico,access_mz_historia_clinica_lider_estrategico,model_mz_historia_clinica,group_manzana_lider_estrategia,1,0,0,0
access_mz_receta_linea_lider_estrategico,access_mz_receta_linea_lider_estrategico,model_mz_receta_linea,group_manzana_lider_estrategia,1,0,0,0
access_mz_wizard_replanificar_turnos_lider_estrategico,access_mz_wizard_replanificar_turnos_lider_estrategico,model_mz_wizard_replanificar_turnos,group_manzana_lider_estrategia,1,0,0,0
access_mz_wizard_reasignar_solicitud_lider_estrategico,access_mz_wizard_reasignar_solicitud_lider_estrategico,model_mz_wizard_reasignar_solicitud,group_manzana_lider_estrategia,1,0,0,0
access_mz_diagnostico_linea_lider_estrategico,access_mz_diagnostico_linea_lider_estrategico,model_mz_diagnostico_linea,group_manzana_lider_estrategia,1,0,0,0
